,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals,PageNo
95,Ncert Summary (Class vi-XII)  - One linear for UPSC/IAS...,"English, Paperback, unknown",₹375,₹165,56% off,4.3,"(2,071)",,3
96,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,"Paperback, Disha Experts","₹1,710",₹977,42% off,4.8,(10),,3
97,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt...,"Paperback, Disha Experts",₹260,₹140,46% off,4,(29),,3
98,"Educart CBSE Class 10 Bundle - Science, SST, English an...","Paperback, Educart","₹2,446","₹1,447",40% off,4.4,(511),,3
99,Cbse All in One Science Class 10,"English, Paperback, Gupta Rashmi",₹550,₹261,52% off,4.4,(611),,3
100,IBPS Bank Clerk Guide for Preliminary & Main Exams with...,"Paperback, Disha Experts",₹775,₹422,45% off,4.4,(59),,3
101,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved...,"Paperback, Disha Experts",₹340,₹172,49% off,4.4,(98),,3
102,Rich Dad Poor Dad,"Telugu, Paperback, Kiyosaki Robert T.",₹399,₹147,63% off,4.4,"(9,200)",,3
103,Rich Dad Poor Dad,"Bengali, Paperback, Kiyosaki Robert T.",₹399,₹147,63% off,4.5,"(5,530)",,3
104,Rich Dad Poor Dad,"Hindi, Paperback, Robert T. Kiyosaki",₹499,₹153,69% off,4.5,"(22,439)",,3
105,Made Easy  - Word Power,"English, Paperback, Lewis Norman",₹199,₹120,39% off,4.4,"(79,802)",,3
106,SBI Clerk 10 Year-wise Prelim & Mains Solved Papers (20...,"Paperback, Disha Experts",₹290,₹164,43% off,4.4,(176),,3
107,Foundation Course in Physics for JEE/ NEET/ Olympiad Cl...,"Paperback, Disha Experts",₹540,₹232,57% off,4.6,(97),,3
108,How to Prepare for Verbal Ability & Reading Comprehensi...,"English, Paperback, Sharma Arun",₹965,₹513,46% off,4.5,(388),,3
109,UGC Net /Set/Jrf Paper 1 Teaching and Research Aptitude...,"English, Paperback, Madaan K.V.S.",₹525,₹240,54% off,4.5,"(1,385)",,3
110,Essential English for Competitive Examinations - 2nd Ed...,"English, Paperback, unknown",₹625,₹295,52% off,4.3,"(3,020)",,3
111,GO TO Objective NEET Chemistry Guide with DPP & CPP She...,"Paperback, Disha Experts",₹900,₹507,43% off,4.3,(23),,3
112,War Of Lanka (Ram Chandra Series Book 4),"English, Paperback, Tripathi Amish",₹499,₹300,39% off,,,,3
113,ALCHEMIST  - The Alchemist,"English, Paperback, Paulo Coelho",₹399,₹158,60% off,4.6,"(57,753)",,3
114,Life is What You Make it,"English, Paperback, Shenoy Preeti",₹199,₹83,58% off,4.3,"(24,287)",,3
115,Alchemist,"Hindi, Paperback, Coelho Paulo",₹299,₹121,59% off,4.5,"(4,424)",,3
116,Mental Ability for NTSE & Olympiad Exams for Class 10 (...,"English, Paperback, Disha Experts",₹420,₹183,56% off,4.4,"(1,586)",,3
117,ICAR IARI Assistant 2022 Complete Books Kit (English Pr...,"Paperback, Adda247 Publications","₹4,197","₹1,451",65% off,4,(3),,3
118,Ikigai: The Japanese secret to a long and happy Life  -...,"English, Paperback, Garcia Hector",₹550,₹205,62% off,4.6,"(24,734)",,3
119,Sochiye Aur Amir Baniye (Think And Grow Rich),"Paperback, Napoleon Hill",₹150,₹62,58% off,4.4,"(1,110)",,3
120,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,Free delivery,4
121,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),Free delivery,4
122,Geography of India (English|10th Edition) | UPSC | Civi...,"Paperback, Majid Husain, Edited by- Tasawwur Husain Zaidi",₹785,₹436,44% off,4.5,(121),"Buy 3 items, save extra 5%",4
123,Mrityu: Jaanen Ek Mahayogi Se (Hindi Translation of Bes...,"Hindi, Paperback, Sadhguru",₹250,₹104,58% off,4.6,"(1,888)","Buy 3 items, save extra 5%",4
124,All in One English Language & Literature Class 10 Eight...,"English, Paperback, Jaiswal Vaishali",₹425,₹224,47% off,4.3,(329),"Buy 3 items, save extra 5%",4
125,The Power of Your Subconscious Mind,"English, Paperback, Murphy Joseph",₹275,₹88,68% off,4.5,"(51,999)","Buy 3 items, save extra 5%",4
126,Vacation Activity Books For Kids 3 Year To 7 Year Old |...,"Paperback, Content Team at Target Publications",₹690,₹555,19% off,4.4,(15),Free delivery,4
127,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ...,"Paperback, Disha Experts","₹1,990","₹1,153",42% off,4.4,(18),Free delivery,4
128,My Journey  - Transforming Dreams into Actions,"English, Paperback, Abdul Kalam A. P. J.",₹250,₹104,58% off,4.6,"(8,763)","Buy 3 items, save extra 5%",4
