,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals
122,Geography of India (English|10th Edition) | UPSC | Civi..., Edited by- Tasawwur Husain Zaidi,785.0,436.0,44,4.5,121,"Buy 3 items, save extra 5%"
123,Mrityu: Jaanen Ek Mahayogi Se (Hindi Translation of Bes..., Sadhguru,250.0,104.0,58,4.6,1888,"Buy 3 items, save extra 5%"
124,All in One English Language & Literature Class 10 Eight..., Jaiswal Vaishali,425.0,224.0,47,4.3,329,"Buy 3 items, save extra 5%"
125,The Power of Your Subconscious Mind, Murphy Joseph,275.0,88.0,68,4.5,51999,"Buy 3 items, save extra 5%"
128,My Journey  - Transforming Dreams into Actions, Abdul Kalam A. P. J.,250.0,104.0,58,4.6,8763,"Buy 3 items, save extra 5%"
129,Miss & Chief Amazing Board Books, Chief,1600.0,573.0,64,4.5,731,Free delivery
132,Encyclopedia of General Science for General Competition..., Mukherji Siddharth,335.0,120.0,64,4.4,3798,"Buy 3 items, save extra 5%"
133,"Think And Grow Rich  - Magic Formula for Success, Wealt...", Hill Napoleon,299.0,152.0,49,4.5,67366,"Buy 3 items, save extra 5%"
134,Think and Grow Rich, Hill Napoleon,225.0,79.0,64,4.5,67367,"Buy 3 items, save extra 5%"
135,"NCERT Physics, Chemistry,Biology (PCB) Books Set For Cl...", NCERT,855.0,530.0,38,4.2,75,Free delivery
138,Think Like a Monk 1st edition  - Train your Mind for Pe..., Jay Shetty,499.0,208.0,58,4.7,15159,"Buy 3 items, save extra 5%"
139,UBD1960 Errorless Physics for NEET as per NTA (Paperbac..., Expert Team of Teachers,1880.0,1049.0,44,4.4,276,Free delivery
142,Jawahar Navodaya Vidyalaya Class 9 Exam 2023, unknown,335.0,134.0,60,4.2,222,Lowest price since launch
143,Jawahar Navodaya Vidyalaya Class 9 Exam 2023, unknown,335.0,154.0,54,4.4,114,"Buy 3 items, save extra 5%"
144,Think & Grow Rich, Hill Napoleon,170.0,124.0,27,4.5,11908,Free delivery
145,A Modern Approach to Verbal & Non-Verbal Reasoning, Aggarwal R. S,825.0,384.0,53,4.5,25762,"Buy 3 items, save extra 5%"
148,Cbse All in One Hindi a Class 10 2022-23 (as Per Latest..., unknown,350.0,184.0,47,4.4,128,Lowest price since launch
149,Pathfinder Nda/Na National Defence Academy & Naval Acad..., unknown,795.0,304.0,61,4.3,876,"Buy 3 items, save extra 5%"
152,Advanced Problems in Mathematics for JEE (Main & Advanc..., Pankaj Joshi,398.0,291.0,26,4.4,157,Free delivery
153,My First Library: Boxset of 10 Board Books for Kids By ..., unknown,750.0,330.0,56,4.4,4487,"Buy 3 items, save extra 5%"
154,Indian and World Geography (English|6th Edition) | UPSC..., Edited by- Tasawwur Husain Zaidi,650.0,354.0,45,4.4,71,"Buy 3 items, save extra 5%"
155,Her Last Wish, Pandey Ajay K.,175.0,72.0,58,4.5,13601,"Buy 3 items, save extra 5%"
158,Chanakya Neeti, Pillai Radhakrishnan,299.0,144.0,51,4.6,3818,"Buy 3 items, save extra 5%"
159,Rapidfire Samanya Gyan 2023 for Competitive Exams 5th E..., Disha Experts,40.0,31.0,22,4.3,262,"Buy 3 items, save extra 5%"
163,Why Not Me?, Agrawal Anubhav,199.0,87.0,56,4.6,7805,"Buy 3 items, save extra 5%"
164,Let's Talk Money, Halan Monika,399.0,152.0,61,4.6,1438,"Buy 3 items, save extra 5%"
165,Willy Visits The Square World, Jeffrey Archer,299.0,126.0,57,4.9,9,"Buy 3 items, save extra 5%"
168,The 7 Habits of Highly Effective People Updated, unknown,599.0,235.0,60,4.4,345,"Buy 3 items, save extra 5%"
169,Jeet Aapki, Khera Shiv,399.0,176.0,55,4.5,9697,"Buy 3 items, save extra 5%"
172,Handbook of Physics, unknown,250.0,100.0,60,4.5,4114,Lowest price since launch
173,151 Essays for IAS/ PCS & other Competitive Exams 3rd E..., unknown,425.0,172.0,59,4.4,2814,Free delivery
174,The Power of a Positive Attitude, Fritz Roger,150.0,66.0,56,4.5,774,"Buy 3 items, save extra 5%"
175,That Night, Upadhyay Nidhi,250.0,144.0,42,4.5,685,"Buy 3 items, save extra 5%"
178,The 5 AM Club, Sharma Robin,350.0,154.0,56,4.5,16817,"Buy 3 items, save extra 5%"
179,Handbook of Mathematics, unknown,250.0,115.0,54,4.5,2874,"Buy 3 items, save extra 5%"
182,THE SECRET, RHONDA BYRNE,699.0,257.0,63,4.6,356,Lowest price since launch
183,The Secret, Byrne Rhonda,499.0,202.0,59,4.5,6052,"Buy 3 items, save extra 5%"
184,The Secret, Byrne Rhonda,499.0,202.0,59,4.5,4478,"Buy 3 items, save extra 5%"
185,The Secret, Byrne Rhonda,599.0,258.0,56,4.5,24754,"Buy 3 items, save extra 5%"
188,The Secret  - RHONDA BYRNE, Byrne Rhonda,799.0,366.0,54,4.5,24754,"Buy 3 items, save extra 5%"
189,Something I Never Told You, Bhinder Shravya,250.0,86.0,65,4.5,13391,Lowest price in the year
192,The NAMESAKE, Jhumpa Lahiri,450.0,177.0,60,4.6,4432,"Buy 3 items, save extra 5%"
193,Learn with Adi | Morning to Evening conversation | Engl..., Adwita Keshari,199.0,111.0,44,4.0,255,"Buy 3 items, save extra 5%"
194,Story Books Set of 10 in English with 101 Moral Stories..., unknown,350.0,170.0,51,4.4,6077,Free delivery
195,Master The NCERT for NEET Biology - Vol.2, Sharma Sanjay,340.0,121.0,64,4.4,122,"Buy 3 items, save extra 5%"
198,Ultimate Guide for SBI Clerk Prelim & Main Exams with 1..., Disha Experts,690.0,372.0,46,4.1,63,Free delivery
199,SBI Bank PO 16 Year-wise Preliminary & Mains Solved Pap..., Disha Experts,325.0,184.0,43,4.5,87,Free delivery
202,How to Prepare for Data Interpretation for Cat, Sharma Arun,795.0,395.0,50,4.5,6158,"Buy 3 items, save extra 5%"
203,Quarterly Current Affairs 2022 Vol. 2 - April to June f..., Disha Experts,250.0,110.0,56,4.5,221,"Buy 3 items, save extra 5%"
204,CTET / TET : Bal Vikas or Adhyayan Kala(Varg: I-VIII) |..., Kavindra Ragini,325.0,129.0,60,4.4,511,Lowest price since launch
205,Miss & Chief My Big Board Books, Chief,699.0,449.0,35,4.6,896,"Buy 3 items, save extra 5%"
208,Upsssc Pet Preliminary Exam Guide for Group C & Other P..., unknown,335.0,148.0,55,4.3,149,"Buy 3 items, save extra 5%"
209,Upsssc Pet Preliminary Exam Guide for Group C & Other P..., unknown,335.0,134.0,60,4.2,80,"Buy 3 items, save extra 5%"
212,Cbse All in One Physics Class 11 2022-23 (as Per Latest..., unknown,600.0,316.0,47,4.3,75,"Buy 3 items, save extra 5%"
213,All in One Physics Class 12 Eleventh Edition, Mohan Keshav,575.0,304.0,47,4.6,129,"Buy 3 items, save extra 5%"
214,Bhartiya Kala Evum Sanskriti, Singhania Nitin,745.0,365.0,51,4.6,737,"Buy 3 items, save extra 5%"
215,Understanding Physics Jee Main and Advanced Mechanics, Pandey DC,490.0,280.0,42,4.6,147,"Buy 3 items, save extra 5%"
218,Cbse All in One Biology Class 12 2022-23 (as Per Latest..., unknown,325.0,172.0,47,4.4,148,"Buy 3 items, save extra 5%"
219,All in One Chemistry Class 12, Gulati Reetika,475.0,251.0,47,4.5,208,"Buy 3 items, save extra 5%"
222,The Power of Positive Thinking, Peale Norman Vincent,399.0,147.0,63,4.5,76,"Buy 3 items, save extra 5%"
223,The Everyday Hero Manifesto, Sharma Robin,399.0,179.0,55,4.4,217,"Buy 3 items, save extra 5%"
224,Cbse All in One Chemistry Class 11 2022-23 (as Per Late..., unknown,525.0,277.0,47,4.6,85,"Buy 3 items, save extra 5%"
225,11 Years IBPS PO Preliminary & Main Year-wise Solved Pa..., Disha Experts,325.0,123.0,62,4.2,141,"Buy 3 items, save extra 5%"
228,Who Will Cry When You Die?, Sharma Robin S.,225.0,124.0,44,4.5,24583,"Buy 3 items, save extra 5%"
229,A Good Girl's Guide to Murder, Jackson Holly,499.0,218.0,56,4.4,361,"Buy 3 items, save extra 5%"
232,Comprehensive Guide to SBI Bank PO Preliminary & Main E..., Disha Experts,890.0,466.0,47,4.5,47,Free delivery
233,Nda/ Na 17 Years, unknown,660.0,227.0,65,4.5,200,Lowest price since launch
234,Jawahar Navodaya Vidyalaya, unknown,375.0,165.0,56,4.4,81,"Buy 3 items, save extra 5%"
235,Oswal Gurukul Mathematics Most Likely CBSE Question Ban..., Oswal - Gurukul,449.0,266.0,40,4.3,130,Free delivery
238,Eternal Echoes, Sadhguru,599.0,249.0,58,4.8,179,"Buy 3 items, save extra 5%"
239,108 Panchatantra Story Book, unknown,160.0,128.0,20,4.2,304,Free delivery
242,The Magic, Byrne Rhonda,399.0,147.0,63,4.5,302,Lowest price since launch
243,The Magic, Byrne Rhonda,399.0,147.0,63,4.4,2983,"Buy 3 items, save extra 5%"
244,Public Administration ( English| 2nd Edition) | UPSC | ..., Laxmikanth M,725.0,418.0,42,4.5,186,"Buy 3 items, save extra 5%"
245,The Magic, Byrne Rhonda,499.0,208.0,58,4.5,6886,"Buy 3 items, save extra 5%"
248,A Thousand Splendid Suns, Hosseini Khaled,498.0,268.0,46,4.5,8846,"Buy 3 items, save extra 5%"
249,The Kid Who Came From Space  - My Sister and I Used to ..., Welford Ross,399.0,152.0,61,4.3,93,Lowest price in the year
252,SMARTER General Knowledge 2023 for Competitive Exams, Disha Experts,125.0,100.0,20,4.2,34,"Buy 3 items, save extra 5%"
254,You are the Best Wife, Pandey Ajay K.,199.0,83.0,58,4.5,13722,"Buy 3 items, save extra 5%"
255,Chanakya Neeti, Parashar Ashavani,150.0,79.0,47,4.4,2691,"Buy 3 items, save extra 5%"
258,Indian & World Geography, Saini Bhumika,645.0,368.0,42,4.3,187,"Buy 3 items, save extra 5%"
259,NCERT TEXTBOOK CLASS 11th Physics Part 1&2 And Chemistr..., NCERT,570.0,387.0,32,0.0,0,Rs40
262,The Yearly Current Affairs 2022 for Competitive Exams (..., unknown,200.0,69.0,65,4.3,1682,Lowest price since launch
263,Practical English Grammar & Composition 2020 Edition, Gupta S.C.,275.0,149.0,45,4.3,2234,"Buy 3 items, save extra 5%"
264,Mandala Art  - By Miss & Chief, unknown,250.0,110.0,56,4.6,1834,"Buy 3 items, save extra 5%"
265,JEE Main Chapterwise Mathematics, Arihant Experts,325.0,152.0,53,4.4,193,"Buy 3 items, save extra 5%"
268,Ret Samadhi, Shree Geetanjali,450.0,182.0,59,4.3,592,"Buy 3 items, save extra 5%"
269,Governance in India ( English| 3rd Edition) | UPSC | Ci..., Laxmikanth M.,595.0,276.0,53,4.6,2017,"Buy 3 items, save extra 5%"
272,All in One English Language & Literature Cbse Class 9 E..., Tanwar Amit,400.0,211.0,47,4.6,136,"Buy 3 items, save extra 5%"
273,Godan, unknown,250.0,170.0,32,4.6,1899,Free delivery
274,Colouring Books Collections for Early Learning by InIka..., InIkao,300.0,139.0,53,4.4,7027,Free delivery
275,Modern Indian History ( English| 2nd Edition) | UPSC | ..., Bansal Sonali,575.0,319.0,44,4.6,2593,"Buy 3 items, save extra 5%"
278,The Girl Who Drank the Moon, Barnhill Kelly,399.0,167.0,58,4.5,394,"Buy 3 items, save extra 5%"
279,My First 100 Animals & Birds, unknown,299.0,136.0,54,4.4,3304,"Buy 3 items, save extra 5%"
282,History of Ancient and Early Medieval India used book E..., Singh Upinder,845.0,513.0,39,4.5,4695,Rs40
283,Banking Awarness (E), Arihant Experts,185.0,85.0,54,4.4,549,Rs40
284,Unfinished, Jonas Priyanka Chopra,699.0,274.0,60,4.6,1214,Rs40
285,"The India that is Bharat: Coloniality, Civilisation, Co...", Deepak J Sai,799.0,352.0,55,4.8,1023,Rs40
288,Rich Dad Poor Dad, Kiyosaki Robert T,399.0,161.0,59,4.3,561,Rs40
289,The Personal MBA, Kaufman Josh,699.0,268.0,61,4.5,1137,Rs40
292,ReWork, Heinemeier Hansson David,699.0,308.0,55,4.5,861,Rs40
293,Let Us C, Kanetkar Yashavant,360.0,212.0,41,4.5,1919,Rs40
294,The Complete Adventures of Feluda Vol. 1, unknown,599.0,253.0,57,4.7,1423,Rs40
295,Shoe Dog, Knight Phil,399.0,147.0,63,4.3,81,Rs40
298,56 SSC Tarkshakti Topic-wise Solved Papers (2010 - 2021..., Disha Experts,290.0,100.0,65,4.2,84,Rs40
299,Fantastic Beasts: The Crimes of Grindelwald - The Origi..., Rowling J. K.,699.0,308.0,55,4.7,1273,Rs40
302,Cbse All in One Ncert Based Social Science Class 8, unknown,350.0,184.0,47,4.6,108,Rs40
303,Savarkar, Sampath Vikram,550.0,211.0,61,4.7,204,Rs40
304,Secrets of the Millionare Mind, Eker T. Harv,299.0,121.0,59,4.5,8656,Rs40
305,Objective Indian Polity, Laxmikanth M,495.0,270.0,45,4.4,542,Rs40
308,Mujhe Bananaa Hai Upsc Topper, Jain Nishant,295.0,124.0,57,4.5,7616,Rs40
309,Hindi-English Expert Translator Se English Translation ..., Gupta S.C.,175.0,80.0,54,4.3,3751,Rs40
312,Bharat Evam Vishwa ka Bhugol (Hindi|6th Edition) | UPSC..., Edited by- Tasawwur Husain Zaidi,595.0,324.0,45,4.1,53,Rs40
313,"Ncc  - Handbook of NCC Cadets for 'A', 'B' and 'C' Cert...", Gupta R.K.,260.0,156.0,40,4.5,4712,Rs40
314,Understanding Physics Jee Main and Advanced Mechanics, Pandey D C,980.0,537.0,45,4.7,3,Rs40
315,Harry Potter and the Philosopher's Stone, Rowling J. K.,499.0,216.0,56,4.6,18494,Rs40
317,FCI AG III Technical Phase I + Phase II (Paper I) 2022 ..., Adda247 Publications,1896.0,1599.0,15,0.0,0,Rs40
318,Apke Avchetan Man Ki Shakti (The Power of your Subconsc..., Joseph Murphy,150.0,96.0,36,4.5,54,Rs40
319,Be a Network Marketing Millionaire  - Proven Step - by ..., Bajaj Deepak,399.0,161.0,59,4.5,1857,Rs40
322,Mastering Essay & Answer Writing for UPSC Civil Service..., Singh Awdhesh,299.0,138.0,53,4.4,227,"Buy 3 items, save extra 5%"
323,The Girl Next Door, Vageria Arpit,199.0,83.0,58,4.5,1367,"Buy 3 items, save extra 5%"
324,Lucent's Samanya Vigyan, Kumar Sanjeev,190.0,109.0,42,4.4,2927,"Buy 3 items, save extra 5%"
325,The Forest of Enchantments, Divakaruni Chitra Banerjee,450.0,175.0,61,4.7,2630,"Buy 3 items, save extra 5%"
329,Harry Potter and the Deathly Hallows, Rowling J. K.,699.0,314.0,55,4.7,5811,"Buy 3 items, save extra 5%"
